home_id,task_name,compute_node,file_name,price_cpu,price_mem,price_queue,price_net,update_time
home,task0,node2,1botnet.ipsum,5.623124999999998,35.52874999999996,0.0,135.11092419168406,1554079288.9326885
home,task0,node1,1botnet.ipsum,5.3362500000000015,40.746875000000045,0.0,2400.6339987666097,1554079288.9326885
home,task0,node3,1botnet.ipsum,5.237735849056605,37.191194968553454,0.0,1233.3334350124003,1554079288.9326885
home,task1,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079292.5311766
home,task1,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1463.7102293719533,1554079292.5311766
home,task1,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2603.9993257734295,1554079292.5311766
home,task3,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2583.267082482142,1554079294.9271295
home,task3,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1457.647396969113,1554079294.9271295
home,task3,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079294.9271295
home,task2,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2658.594141410356,1554079296.694028
home,task2,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1479.7344458069597,1554079296.694028
home,task2,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079296.694028
home,task4,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079298.4494574
home,task4,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2618.3741765979767,1554079298.4494574
home,task4,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1467.9210968447833,1554079298.4494574
home,task4,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079303.7513049
home,task4,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2618.3741765979767,1554079303.7513049
home,task4,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1467.9210968447833,1554079303.7513049
home,task4,node2,1botnet,5.623124999999998,35.52874999999996,0.0,0,1554079305.5798655
home,task4,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2618.3741765979767,1554079305.5798655
home,task4,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1467.9210968447833,1554079305.5798655
home,task5,node3,1botnet,5.237735849056605,37.191194968553454,0.0,1464.236890918095,1554079307.2617176
home,task5,node1,1botnet,5.3362500000000015,40.746875000000045,0.0,2605.79831709469,1554079307.2617176
